spotify_artist_id,name,source,confidence,notes
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,Smith,high,Named in DOJ indictment; ISRC ITIWE/CH654; 38 tracks in Neo4j
6bo3atMVp3qFECNALVwq9N,Relaxing White Noise,Smith,high,Named in DOJ indictment; ISRC DEPI8/DE1QW; 280 tracks in Neo4j
39t4EeLBfpT72UQJVkIeuj,Meditation Relax Club,Smith,high,Named in indictment and Dagens Nyheter; ISRC ITO10/ITLU5; 172 tracks
,Sleep Meditation Music,Smith,high,Named in indictment press coverage; ambient/sleep genre
,Study Music Project,Smith,high,Named in indictment press coverage; study/focus genre
,Calliope Bloom,Smith,med,25-sample indictment exhibit; AI-generated ambient/lo-fi
,Calm Connected,Smith,med,25-sample indictment exhibit
,Calm Force,Smith,med,25-sample indictment exhibit
,Calm Identity,Smith,med,25-sample indictment exhibit
,Calm Innovation,Smith,med,25-sample indictment exhibit
,Calm Baseball,Smith,med,25-sample indictment exhibit
,Calm Knuckles,Smith,med,25-sample indictment exhibit
,Calm Market,Smith,med,25-sample indictment exhibit
,Calm The Super,Smith,med,25-sample indictment exhibit
,Calm Weary,Smith,med,25-sample indictment exhibit
,Calms Scorching,Smith,med,25-sample indictment exhibit
,Calorie Event,Smith,med,25-sample indictment exhibit
,Calorie Screams,Smith,med,25-sample indictment exhibit
,Calvin Mann,Smith,med,25-sample indictment exhibit
,Calvinistic Dust,Smith,med,25-sample indictment exhibit
,Calypso Xored,Smith,med,25-sample indictment exhibit
,Camalus Disen,Smith,med,25-sample indictment exhibit
,Camaxtli Minerva,Smith,med,25-sample indictment exhibit
,Cambists Cagelings,Smith,med,25-sample indictment exhibit
,Camel Edible,Smith,med,25-sample indictment exhibit
,Minik Knudsen,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB (ISRC SEWA)
,Mingmei Hsueh,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
,Csizmazia Etel,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
,Adelmar Borrego,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
,Maya Åström,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
,Ralph Kaler,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
,Sherry Novak,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
,Jospeh Turley,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
,Miu Hayashi,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
,Bernward Koch,Kaggle-variance,low,new-age; variance=0.009; 10 tracks; no Spotify confirmation
,Mc_team,Kaggle-variance,low,world-music; variance=0.012; 12 tracks
,Stanton Lanier,Kaggle-variance,low,new-age/piano; variance=0.012; 10 tracks
,Emile Pandolfi,Kaggle-variance,low,new-age/piano; variance=0.012; 10 tracks
,Deuter,Kaggle-variance,low,new-age; variance=0.013; 22 tracks
,Liquid Mind,Kaggle-variance,low,ambient/new-age; variance=0.013; 11 tracks
,Robert Haig Coxon,Kaggle-variance,low,new-age; variance=0.014; 14 tracks
,Instrumental Worship Project from I'm In Records,Kaggle-variance,low,piano; variance=0.016; 13 tracks; name suggests library music
,Chad Lawson,Kaggle-variance,low,ambient/classical/new-age/piano; variance=0.016; 12 tracks
,Stephan Moccio,Kaggle-variance,low,ambient/classical/piano; variance=0.017; 22 tracks
,Alexis Ffrench,Kaggle-variance,low,ambient; variance=0.020; 22 tracks
,Jacob's Piano,Kaggle-variance,low,new-age/piano; variance=0.025; 22 tracks
,Jonah Baker,Kaggle-variance,low,acoustic; variance=0.025; 13 tracks
,Gomer Edwin Evans,Kaggle-variance,low,new-age; variance=0.030; 13 tracks
,Fabrizio Paterlini,Kaggle-variance,low,ambient/classical; variance=0.031; 15 tracks
,Yusei,Kaggle-variance,low,chill; variance=0.031; 13 tracks
