playlist_id,playlist_name,playlist_type,source_type,data_source,follower_count_approx,track_count_target,notes
KAGGLE_AMBIENT_EDITORIAL,Ambient (Kaggle editorial proxy),editorial,kaggle_genre,ambient,unknown,60,"Kaggle 'ambient' genre — editorial-quality ambient tracks; proxies 'Peaceful Piano'/'Deep Focus' editorial playlists. Spotify editorial playlist API returns 401 (OAuth required); using genre-matched Kaggle tracks."
KAGGLE_CLASSICAL_EDITORIAL,Classical (Kaggle editorial proxy),editorial,kaggle_genre,classical,unknown,60,"Kaggle 'classical' genre — high-production editorial proxy. Tracks from major labels (Deutsche Grammophon etc.)."
KAGGLE_NEWAGE_EDITORIAL,New Age (Kaggle editorial proxy),editorial,kaggle_genre,new-age,unknown,60,"Kaggle 'new-age' genre — ambient/spiritual music; editorial equivalent of Spotify 'Ambient Relaxation' playlist."
KAGGLE_PIANO_EDITORIAL,Piano (Kaggle editorial proxy),editorial,kaggle_genre,piano,unknown,60,"Kaggle 'piano' genre — solo piano; proxies 'Peaceful Piano' Spotify editorial."
KAGGLE_SLEEP_EDITORIAL,Sleep (Kaggle editorial proxy),editorial,kaggle_genre,sleep,unknown,60,"Kaggle 'sleep' genre — Spotify editorial 'Sleep' playlist proxy."
KAGGLE_STUDY_EDITORIAL,Study (Kaggle editorial proxy),editorial,kaggle_genre,study,unknown,60,"Kaggle 'study' genre — lo-fi/focus music; proxies 'Deep Focus' editorial."
KAGGLE_IDM_EDITORIAL,IDM (Kaggle editorial proxy),editorial,kaggle_genre,idm,unknown,60,"Kaggle 'idm' genre — intelligent dance music; Aphex Twin / Boards of Canada type."
KAGGLE_GUITAR_EDITORIAL,Guitar (Kaggle editorial proxy),editorial,kaggle_genre,guitar,unknown,60,"Kaggle 'guitar' genre — acoustic guitar; proxies 'Acoustic Morning' editorial."
KAGGLE_CHILL_EDITORIAL,Chill (Kaggle editorial proxy),editorial,kaggle_genre,chill,unknown,60,"Kaggle 'chill' genre — general chill/downtempo editorial proxy."
KAGGLE_TRIPPHOP_EDITORIAL,Trip-hop (Kaggle editorial proxy),editorial,kaggle_genre,trip-hop,unknown,60,"Kaggle 'trip-hop' genre — Portishead/Massive Attack type; editorial proxy."
KAGGLE_INDIE_FAN,Indie (Kaggle fan-curated proxy),fan_curated,kaggle_genre,indie,unknown,60,"Kaggle 'indie' genre — user-assembled indie playlists. High genre diversity = high entropy."
KAGGLE_FOLK_FAN,Folk (Kaggle fan-curated proxy),fan_curated,kaggle_genre,folk,unknown,60,"Kaggle 'folk' genre — fan-assembled folk/acoustic playlists."
KAGGLE_ACOUSTIC_FAN,Acoustic (Kaggle fan-curated proxy),fan_curated,kaggle_genre,acoustic,unknown,60,"Kaggle 'acoustic' genre — unplugged fan playlists."
