name,label,source,confidence,notes
Sleep Meditation Music,ghost,Smith,high,Named in indictment press coverage; ambient/sleep genre
Study Music Project,ghost,Smith,high,Named in indictment press coverage; study/focus genre
Calliope Bloom,ghost,Smith,med,25-sample indictment exhibit; AI-generated ambient/lo-fi
Calm Connected,ghost,Smith,med,25-sample indictment exhibit
Calm Force,ghost,Smith,med,25-sample indictment exhibit
Calm Identity,ghost,Smith,med,25-sample indictment exhibit
Calm Innovation,ghost,Smith,med,25-sample indictment exhibit
Calm Baseball,ghost,Smith,med,25-sample indictment exhibit
Calm Knuckles,ghost,Smith,med,25-sample indictment exhibit
Calm Market,ghost,Smith,med,25-sample indictment exhibit
Calm The Super,ghost,Smith,med,25-sample indictment exhibit
Calm Weary,ghost,Smith,med,25-sample indictment exhibit
Calms Scorching,ghost,Smith,med,25-sample indictment exhibit
Calorie Event,ghost,Smith,med,25-sample indictment exhibit
Calorie Screams,ghost,Smith,med,25-sample indictment exhibit
Calvin Mann,ghost,Smith,med,25-sample indictment exhibit
Calvinistic Dust,ghost,Smith,med,25-sample indictment exhibit
Calypso Xored,ghost,Smith,med,25-sample indictment exhibit
Camalus Disen,ghost,Smith,med,25-sample indictment exhibit
Camaxtli Minerva,ghost,Smith,med,25-sample indictment exhibit
Cambists Cagelings,ghost,Smith,med,25-sample indictment exhibit
Camel Edible,ghost,Smith,med,25-sample indictment exhibit
Minik Knudsen,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB (ISRC SEWA)
Mingmei Hsueh,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
Csizmazia Etel,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
Adelmar Borrego,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
Maya Åström,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
Ralph Kaler,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
Sherry Novak,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
Jospeh Turley,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
Miu Hayashi,ghost,DN,med,Johan Röhr pseudonym; Firefly Entertainment AB
Bernward Koch,ghost,Kaggle-variance,low,new-age; variance=0.009; 10 tracks; no Spotify confirmation
Mc_team,ghost,Kaggle-variance,low,world-music; variance=0.012; 12 tracks
Stanton Lanier,ghost,Kaggle-variance,low,new-age/piano; variance=0.012; 10 tracks
Emile Pandolfi,ghost,Kaggle-variance,low,new-age/piano; variance=0.012; 10 tracks
Deuter,ghost,Kaggle-variance,low,new-age; variance=0.013; 22 tracks
Liquid Mind,ghost,Kaggle-variance,low,ambient/new-age; variance=0.013; 11 tracks
Robert Haig Coxon,ghost,Kaggle-variance,low,new-age; variance=0.014; 14 tracks
Instrumental Worship Project from I'm In Records,ghost,Kaggle-variance,low,piano; variance=0.016; 13 tracks; name suggests library music
Chad Lawson,ghost,Kaggle-variance,low,ambient/classical/new-age/piano; variance=0.016; 12 tracks
Stephan Moccio,ghost,Kaggle-variance,low,ambient/classical/piano; variance=0.017; 22 tracks
Alexis Ffrench,ghost,Kaggle-variance,low,ambient; variance=0.020; 22 tracks
Jacob's Piano,ghost,Kaggle-variance,low,new-age/piano; variance=0.025; 22 tracks
Jonah Baker,ghost,Kaggle-variance,low,acoustic; variance=0.025; 13 tracks
Gomer Edwin Evans,ghost,Kaggle-variance,low,new-age; variance=0.030; 13 tracks
Fabrizio Paterlini,ghost,Kaggle-variance,low,ambient/classical; variance=0.031; 15 tracks
Yusei,ghost,Kaggle-variance,low,chill; variance=0.031; 13 tracks
Dan Gibson's Solitudes,ghost,Kaggle-variance,low,new-age; variance=0.031; 90 tracks; large catalog typical of ghost
The Civil Wars,ghost,Kaggle-variance,low,acoustic; variance=0.031; 13 tracks
The Mayries,ghost,Kaggle-variance,low,acoustic; variance=0.032; 10 tracks
Laura Sullivan,ghost,Kaggle-variance,low,new-age/piano/sleep; variance=0.033; 23 tracks
Brian Crain,ghost,Kaggle-variance,low,new-age; variance=0.033; 21 tracks
Canyon City,ghost,Kaggle-variance,low,acoustic; variance=0.034; 10 tracks
Meeresrauschen,ghost,Kaggle-variance,low,sleep; variance=0.034; 24 tracks; German name
Obie Hans,ghost,Kaggle-variance,low,study; variance=0.034; 11 tracks
Raimu,ghost,Kaggle-variance,low,chill; variance=0.035; 11 tracks
Yiruma,ghost,Kaggle-variance,low,classical/new-age/piano; variance=0.036; 93 tracks
Henrik Janson,ghost,Kaggle-variance,low,guitar; variance=0.038; 24 tracks
Paul Cardall,ghost,Kaggle-variance,low,new-age/piano; variance=0.038; 40 tracks
Los Tecolines,ghost,Kaggle-variance,low,guitar; variance=0.039; 32 tracks
Dither,ghost,Kaggle-variance,low,idm; variance=0.040; 16 tracks
BigRicePiano,ghost,Kaggle-variance,low,piano; variance=0.040; 14 tracks
Smyang Piano,ghost,Kaggle-variance,low,piano; variance=0.041; 47 tracks; YouTube cover channel
Maneli Jamal,ghost,Kaggle-variance,low,guitar; variance=0.043; 10 tracks
Los Tres Caballeros,ghost,Kaggle-variance,low,guitar; variance=0.043; 12 tracks
Ever So Blue,ghost,Kaggle-variance,low,piano; variance=0.043; 11 tracks
PIÑA PINK,ghost,Kaggle-variance,low,study; variance=0.043; 10 tracks
Jim Brickman,ghost,Kaggle-variance,low,new-age/piano; variance=0.044; 76 tracks
Bhimsen Joshi,ghost,Kaggle-variance,low,classical; variance=0.046; 11 tracks
Little Symphony,ghost,Kaggle-variance,low,ambient/guitar; variance=0.046; 94 tracks; very large catalog
Lucas Cervetti,ghost,Kaggle-variance,low,world-music; variance=0.047; 12 tracks
Joseph Sullinger,ghost,Kaggle-variance,low,acoustic/guitar; variance=0.048; 13 tracks
Guus Dielissen,ghost,Kaggle-variance,low,acoustic/guitar; variance=0.049; 13 tracks
Akira Kosemura,ghost,Kaggle-variance,low,ambient/classical/piano; variance=0.049; 11 tracks
Tenno,ghost,Kaggle-variance,low,chill; variance=0.050; 12 tracks
Blackburri,ghost,Kaggle-variance,low,study; variance=0.050; 14 tracks
Eddy Tyler,ghost,Kaggle-variance,low,acoustic/guitar; variance=0.050; 11 tracks
Tony O'Connor,ghost,Kaggle-variance,low,new-age; variance=0.052; 35 tracks
Gramatik,ghost,Kaggle-variance,low,trip-hop; variance=0.052; 11 tracks
Avslappning Sound,ghost,Kaggle-variance,low,sleep; variance=0.053; 20 tracks; Swedish name = likely Firefly-adjacent
Kevin Kern,ghost,Kaggle-variance,low,new-age/piano; variance=0.056; 10 tracks
Jóhann Jóhannsson,ghost,Kaggle-variance,low,ambient/classical; variance=0.057; 20 tracks
Chamin Madero,ghost,Kaggle-variance,low,guitar; variance=0.059; 11 tracks
Firefly Entertainment,ghost,DN,high,The production label behind Johan Röhr's 656 pseudonyms; ISRC SEWA
Epidemic Sound,ghost,other,high,Production library music; named in Pelly investigation; Overtone Studios sublabel
Relaxing Sounds,ghost,other,med,Generic ambient factory brand; common ghost-artist naming pattern
Sleep Sounds White Noise,ghost,other,med,Common ghost artist naming pattern; white noise category
Nature Sound Collection,ghost,other,med,Nature-sounds category; common ghost artist naming pattern
Binaural Beats Brain Waves,ghost,other,med,Binaural beats category; common ghost naming pattern
White Noise Therapy,ghost,other,med,Therapy-adjacent ambient; common ghost naming pattern
Ambient Music Therapy,ghost,other,med,Therapy-adjacent; common ghost naming pattern
Relaxing Rain Sounds,ghost,other,med,Rain sound generator brand; common ghost pattern
Study Music Alpha Waves,ghost,other,med,Study music factory; alpha waves branding common in ghost artists
Focus At Will,ghost,other,med,Study/focus music service; functional music factory pattern
Calm Radio,ghost,other,med,Ambient radio brand; functional music factory
White Noise Baby,ghost,Kaggle-variance,low,sleep; high-variance outlier but name pattern matches ghost factory
Pink Noise,ghost,Kaggle-variance,low,sleep; functional noise generator
Jóhann Jóhannsson,organic,verified,high,Icelandic composer; deceased 2018; Deutsche Grammophon
Fabrizio Paterlini,organic,verified,high,"Italian pianist; despite low variance, has press coverage and live shows"
Susumu Yokota,organic,verified,high,Japanese IDM/ambient; Kaggle variance=0.332
Rei Harakami,organic,verified,high,Japanese IDM/ambient; Kaggle variance=0.322
Kettel,organic,verified,high,IDM; Sending Orbs; Kaggle variance=0.247
Rival Consoles,organic,verified,high,Ambient IDM; Erased Tapes; Kaggle variance=0.211
Datassette,organic,verified,high,IDM; Kaggle variance=0.268
The Black Dog,organic,verified,high,IDM; Dust Science; Kaggle variance=0.392
Ilkae,organic,verified,high,IDM; Kaggle variance=0.337
Casino Versus Japan,organic,verified,high,IDM; Kaggle variance=0.277
Mouse On Mars,organic,verified,high,IDM; Thrill Jockey; Kaggle variance=0.270
alva noto,organic,verified,high,Minimal electronic; Raster-Noton; Kaggle variance=0.280
KT Tunstall,organic,verified,high,Acoustic singer-songwriter; Kaggle variance=0.305
Ray LaMontagne,organic,verified,high,Acoustic folk; Kaggle variance=0.202
Clairo,organic,verified,high,Indie pop; Republic Records; Kaggle variance=0.278
Elton John,organic,verified,high,Pop/piano; Kaggle variance=0.216
Ed Sheeran,organic,verified,high,Pop; Atlantic; Kaggle variance=0.269
The Velvet Underground,organic,verified,high,Alt-rock; Verve; Kaggle variance=0.279
Billy Joel,organic,verified,high,Piano pop; Columbia; Kaggle variance=0.221
Corie Asbury,organic,verified,high,Christian/world-music; Kaggle variance=0.232
Rain Sounds,organic,Kaggle-variance,med,sleep; variance=0.315 — high enough to classify as organic; natural variation
Nature Sounds,organic,Kaggle-variance,med,sleep; variance=0.289 — organic by variance threshold
Silent Knights,organic,Kaggle-variance,med,sleep; variance=0.283 — organic by variance threshold
Ocean Waves For Sleep,organic,Kaggle-variance,med,sleep; variance=0.256 — organic by variance threshold
White Noise for Babies,organic,Kaggle-variance,med,sleep; variance=0.232 — organic by variance threshold
White Noise Baby Sleep,organic,Kaggle-variance,med,sleep; variance=0.269 — organic by variance threshold
Pink Noise,organic,Kaggle-variance,med,sleep; variance=0.233 — organic by variance threshold
Karunesh,organic,Kaggle-variance,med,new-age; variance=0.248; Real Music Records
Reiki Armonía,organic,Kaggle-variance,med,world-music; variance=0.333
Ali Farka Touré,organic,verified,high,Malian blues; World Circuit Records
Everything But The Girl,organic,Kaggle-variance,high,Electronic/trip-hop; variance=0.222
aswekeepsearching,organic,Kaggle-variance,med,ambient; variance=0.204
Nathan Kawanishi,organic,Kaggle-variance,med,study; variance=0.204
A Great Big World,organic,Kaggle-variance,med,acoustic/piano; variance=0.221
The Fray,organic,Kaggle-variance,high,piano rock; variance=0.223; Epic Records
Eddie Vedder,organic,Kaggle-variance,high,acoustic; variance=0.218; Pearl Jam vocalist
Hillsong Young & Free,organic,Kaggle-variance,high,Christian; variance=0.201; Hillsong Records
Cory Asbury,organic,Kaggle-variance,med,world-music; variance=0.232
arai tasuku,organic,Kaggle-variance,med,IDM; variance=0.247
Yasuharu Takanashi,organic,Kaggle-variance,med,anime composer; Kaggle variance=0.346
The Wiggles,organic,Kaggle-variance,high,children's music; Kaggle variance=0.323; EMI
Hanare Gumi,organic,Kaggle-variance,med,acoustic; Kaggle variance=0.249
George Bruns,organic,Kaggle-variance,high,Disney composer; variance=0.334
Nils Petter Molvær,organic,verified,high,Norwegian jazz-ambient; ECM Records
Peteris Vasks,organic,verified,high,Latvian composer; BIS Records
Henryk Górecki,organic,verified,high,Polish composer; Nonesuch; Symphony No. 3
Johann Johannsson,organic,verified,high,Alternate spelling; Deutsche Grammophon; Arrival OST
Nico Muhly,organic,verified,high,American neo-classical; Decca/Universal
A Winged Victory for the Sullen,organic,verified,high,Ambient neo-classical; Kranky/Erased Tapes
The Caretaker,organic,verified,high,Hauntological ambient; Leyland James Kirby
Machinedrum,organic,verified,high,Electronic; Planet Mu/Ninja Tune; Travis Stewart
Arca,organic,verified,high,Experimental electronic; XL Recordings; Alejandra Ghersi
Lawrence English,organic,verified,high,Drone ambient; Room40 Records; Brisbane
Rafael Anton Irisarri,organic,verified,high,Dark ambient; Room40/Western Vinyl
John Fahey,organic,verified,high,American primitive guitar; Vanguard Records
Leonard Cohen,organic,verified,high,Folk/singer-songwriter; Columbia Records
Elliott Smith,organic,verified,high,Indie folk; Kill Rock Stars/DreamWorks
Neutral Milk Hotel,organic,verified,high,Indie folk; Merge Records; In the Aeroplane
Mount Eerie,organic,verified,high,Indie folk; P.W. Elverum & Sun; Phil Elverum
Bibio,organic,verified,high,Electronic folk; Warp Records; Stephen Wilkinson
Nils Petter Molvaer,organic,verified,high,Alternate spelling; Norwegian jazz-ambient; ECM
Portico Quartet,organic,verified,high,Jazz/ambient; Real World Records
Portico,organic,verified,high,Ambient electronic; Mercury KX
Moderat,organic,verified,high,Electronic; Monkeytown Records; Modeselektor+Apparat
Evgeny Kissin,organic,verified,high,Russian pianist; EMI Classics; world tours
Martha Argerich,organic,verified,high,Argentine pianist; DG; Grammy winner
Dinu Lipatti,organic,verified,high,Romanian pianist; Columbia; 1917-1950
